site,First Time Seen Blocked,Last Time Seen Blocked,Blocked Count
365gay.com,2017-02-12,2017-02-12,1
amygoodloe.com,2017-10-11,2017-11-15,24
cglcc.ca,2018-07-25,2018-07-25,1
exgay.com,2017-10-11,2017-11-13,18
gay.com,2017-03-23,2018-07-25,24
gayarab.org,2017-10-11,2017-11-13,15
gaycalgary.com,2017-10-11,2018-07-25,16
gaycurl.ca,2018-07-25,2018-07-25,2
gayegypt.com,2017-04-21,2018-07-25,7
gayfaith.org,2017-10-11,2017-11-13,15
gayguide.net,2017-10-11,2017-11-13,13
gayhealth.com,2017-10-11,2018-07-25,21
gayinkuwait.blogspot.com,2017-06-21,2017-11-13,16
gayromeo.com,2017-02-13,2017-03-20,3
gayscape.com,2018-07-25,2018-07-25,1
gayswithoutborders.wordpress.com,2017-10-11,2017-11-13,14
gaytoday.com,2017-02-12,2018-02-22,5
gaytravelnet.com,2017-10-11,2017-11-13,15
glaad.org,2017-09-21,2018-07-25,25
glil.org,2017-02-09,2018-07-25,6
globalgayz.com,2017-10-11,2018-07-25,16
gmhc.org,2017-02-13,2018-07-25,4
google search query for lbgt keywords,2017-02-18,2018-04-03,5
hrc.org,2017-10-11,2018-07-25,23
ifge.org,2017-02-18,2018-01-07,25
ilga.info,2017-06-22,2017-07-14,12
ilga.org,2017-02-15,2017-11-15,25
lesbian.org,2017-02-09,2017-02-13,3
queerty.com,2017-02-13,2017-03-11,2
tsroadmap.com,2017-06-21,2017-11-23,2
Grand Total,2017-02-09,2018-07-25,359
